"week","total_flu","total_rsv","total_covid","covid_scaled"
2018-09-30,17,85,NA,NA
2021-12-12,178,391,562959,2814.795
2021-11-28,144,445,329462,1647.31
2018-04-29,68,26,NA,NA
2020-02-02,530,234,20,0.1
2021-01-10,11,3,324534,1622.67
2017-04-02,64,14,NA,NA
2020-01-19,603,422,0,0
2022-05-01,417,203,74518,372.59
2021-03-21,0,4,38600,193
2019-11-10,263,546,NA,NA
2020-05-10,0,1,20553,102.765
2021-02-07,13,6,97748,488.74
2022-05-08,370,218,62350,311.75
2017-12-31,2034,481,NA,NA
2016-12-25,441,385,NA,NA
2018-12-09,284,759,NA,NA
2021-04-04,8,4,20124,100.62
2020-04-12,3,3,30319,151.595
2020-12-06,18,4,129932,649.66
2018-11-18,111,879,NA,NA
2021-10-10,185,952,297155,1485.775
2018-04-22,117,35,NA,NA
2018-03-18,1327,86,NA,NA
2017-03-19,81,34,NA,NA
2017-01-08,949,374,NA,NA
2022-01-30,68,133,609302,3046.51
2018-12-16,579,732,NA,NA
2021-10-31,97,622,261410,1307.05
2021-04-18,14,6,17049,85.245
2022-03-27,717,161,503639,2518.195
2020-01-05,1728,952,0,0
2020-10-04,8,4,108475,542.375
2017-12-03,175,711,NA,NA
2018-01-21,2510,234,NA,NA
2019-02-03,2787,167,NA,NA
2018-01-28,2230,179,NA,NA
2020-03-29,74,8,27120,135.6
2016-11-27,63,558,NA,NA
2022-03-20,596,161,609227,3046.135
2020-12-20,21,2,265069,1325.345
2021-12-19,156,362,880365,4401.825
2016-10-30,21,274,NA,NA
2018-04-01,846,50,NA,NA
2021-05-09,14,11,15553,77.765
2021-12-05,154,400,357276,1786.38
2022-02-06,74,124,438897,2194.485
2018-05-06,61,24,NA,NA
2018-02-18,2540,129,NA,NA
2020-11-01,15,10,161491,807.455
2020-03-08,396,95,1506,7.53
2020-05-03,0,1,25729,128.645
2022-01-23,76,183,721263,3606.315
2018-12-02,215,912,NA,NA
2018-10-14,23,173,NA,NA
2020-11-08,33,2,174551,872.755
2020-01-26,618,346,1,0.005
2021-02-14,20,5,82012,410.06
2017-10-29,26,245,NA,NA
2017-12-17,813,635,NA,NA
2020-04-26,1,0,32046,160.23
2020-03-22,157,58,14144,70.72
2016-12-18,414,522,NA,NA
2017-04-16,41,11,NA,NA
2021-12-26,133,321,1240772,6203.86
2022-03-06,306,127,411866,2059.33
2016-12-11,243,609,NA,NA
2017-05-07,36,22,NA,NA
2017-01-15,728,252,NA,NA
2022-01-02,104,231,1388612,6943.06
2020-02-23,550,110,23,0.115
2022-04-03,776,154,313520,1567.6
2017-02-05,602,107,NA,NA
2016-10-09,10,67,NA,NA
2017-04-09,38,11,NA,NA
2020-12-27,11,1,359655,1798.275
2022-01-09,103,168,757527,3787.635
2022-05-15,294,321,53196,265.98
2020-02-16,532,146,1,0.005
2016-10-16,14,125,NA,NA
2018-12-30,1328,586,NA,NA
2018-03-11,1703,83,NA,NA
2017-03-05,166,28,NA,NA
2020-10-18,24,15,147782,738.91
2018-02-04,1826,124,NA,NA
2019-03-31,435,30,NA,NA
2021-01-24,11,3,179771,898.855
2019-10-27,258,528,NA,NA
2019-10-06,116,131,NA,NA
2018-12-23,744,516,NA,NA
2017-10-08,36,68,NA,NA
2019-03-10,681,64,NA,NA
2022-01-16,71,215,724827,3624.135
2018-02-25,1686,88,NA,NA
2022-04-24,476,157,99960,499.8
2018-11-11,96,689,NA,NA
2019-02-17,2073,126,NA,NA
2018-11-25,166,929,NA,NA
2017-04-23,49,8,NA,NA
2019-04-28,195,26,NA,NA
2019-12-29,2639,1283,0,0
2017-04-30,36,8,NA,NA
2022-02-13,109,156,327378,1636.89
2018-11-04,86,572,NA,NA
2017-11-05,35,331,NA,NA
2021-01-03,20,1,407052,2035.26
2020-11-22,25,7,108806,544.03
2020-04-19,7,0,33522,167.61
2021-10-17,218,807,332317,1661.585
2017-11-19,84,659,NA,NA
2019-11-24,1175,1263,NA,NA
2021-10-24,178,664,285556,1427.78
2022-09-18,34,37,40356,201.78
2019-10-20,196,356,NA,NA
2020-03-15,405,86,4680,23.4
2021-04-25,2,5,15236,76.18
2020-01-12,955,612,0,0
2019-03-24,511,35,NA,NA
2018-05-13,44,19,NA,NA
2018-02-11,1958,114,NA,NA
2016-11-20,27,568,NA,NA
2016-10-23,10,166,NA,NA
2019-05-05,92,21,NA,NA
2019-02-24,1336,104,NA,NA
2019-01-20,2191,292,NA,NA
2020-03-01,541,127,240,1.2
