"week","total_flu","total_rsv","total_covid","covid_scaled"
2020-11-15,30,3,148401,742.005
2018-01-07,2387,388,NA,NA
2017-11-12,54,403,NA,NA
2021-02-28,8,5,42823,214.115
2018-04-15,283,40,NA,NA
2020-02-09,543,183,11,0.055
2017-10-15,22,99,NA,NA
2022-03-13,434,122,572993,2864.965
2017-05-14,49,6,NA,NA
2016-11-13,50,461,NA,NA
2019-05-12,86,17,NA,NA
2017-10-01,34,46,NA,NA
2019-04-14,320,21,NA,NA
2021-03-28,2,2,28943,144.715
2017-10-22,24,177,NA,NA
2017-02-19,457,93,NA,NA
2022-02-20,133,118,257035,1285.175
2017-03-12,98,34,NA,NA
2020-12-13,23,4,205683,1028.415
2021-05-16,4,15,16489,82.445
2018-10-21,42,273,NA,NA
2017-01-22,828,173,NA,NA
2016-10-02,14,36,NA,NA
2017-01-01,688,445,NA,NA
2022-04-10,896,240,221291,1106.455
2022-02-27,162,96,263670,1318.35
2017-11-26,78,649,NA,NA
2018-03-04,2052,100,NA,NA
2020-10-11,22,10,118056,590.28
2021-11-21,131,487,301318,1506.59
2022-04-17,598,208,152602,763.01
2016-11-06,22,246,NA,NA
2021-11-14,129,467,293515,1467.575
2020-09-27,10,2,67574,337.87
2018-10-07,18,86,NA,NA
2017-01-29,866,124,NA,NA
2019-01-13,1875,366,NA,NA
2018-04-08,594,54,NA,NA
2016-12-04,147,669,NA,NA
2017-12-24,1117,427,NA,NA
2021-10-03,177,780,248174,1240.87
2018-10-28,48,407,NA,NA
2020-10-25,14,7,152696,763.48
2019-11-17,590,842,NA,NA
2019-03-17,703,48,NA,NA
2017-02-26,329,56,NA,NA
2020-04-05,21,6,33156,165.78
2021-03-14,13,2,38699,193.495
2019-10-13,116,157,NA,NA
2017-02-12,400,82,NA,NA
2021-11-07,109,438,258653,1293.265
2019-01-27,2491,233,NA,NA
2019-04-07,428,21,NA,NA
2019-03-03,913,52,NA,NA
2021-05-02,7,8,14311,71.555
2017-12-10,310,647,NA,NA
2019-02-10,2955,165,NA,NA
2021-01-31,17,4,137028,685.14
2021-04-11,9,5,17942,89.71
2020-11-29,36,1,103910,519.55
2021-01-17,10,1,257264,1286.32
2019-01-06,1906,561,NA,NA
2021-02-21,5,13,65430,327.15
2019-09-29,88,71,NA,NA
2019-11-03,208,464,NA,NA
2017-03-26,68,18,NA,NA
2018-01-14,2426,324,NA,NA
2021-03-07,6,3,40066,200.33
2019-04-21,334,18,NA,NA
2018-03-25,1007,38,NA,NA
2018-06-17,0,0,NA,NA
2018-05-27,0,0,NA,NA
2022-10-16,1121,849,54603,273.015
2022-11-20,2354,1925,22782,113.91
2022-12-25,11367,1851,41259,206.295
2023-01-29,875,452,20671,103.355
2023-03-05,680,320,29125,145.625
2023-04-09,239,86,14993,74.965
2023-05-14,76,53,7584,37.92
2023-06-18,66,33,2871,14.355
2023-07-23,45,53,4449,22.245
2024-01-21,5607,578,6599,32.995
2024-02-25,2045,169,1570,7.85
2024-03-31,1181,105,1580,7.9
2024-05-05,423,71,2952,14.76
2024-06-09,176,45,3864,19.32
2024-07-14,352,70,5153,25.765
2024-08-18,236,42,2050,10.25
2022-10-02,496,362,66161,330.805
2022-11-06,1246,1383,23970,119.85
2022-12-11,9962,1805,39141,195.705
2023-01-15,1137,623,14399,71.995
2023-02-19,1773,395,28513,142.565
2023-03-26,385,100,26485,132.425
2023-04-30,145,42,11284,56.42
2024-01-07,2417,665,6759,33.795
2024-02-11,3527,255,2877,14.385
2024-03-17,1620,120,1505,7.525
2024-04-21,519,56,2050,10.25
2024-05-26,159,40,2421,12.105
2024-06-30,262,40,4819,24.095
2024-08-04,268,52,2633,13.165
2023-01-22,946,575,15917,79.585
2023-02-26,578,216,26918,134.59
2023-04-02,305,95,17916,89.58
2023-05-07,107,44,9258,46.29
2023-06-11,45,25,3774,18.87
2023-07-16,57,35,3494,17.47
2023-08-20,52,66,8949,44.745
2023-09-24,97,301,16980,84.9
2023-10-29,262,1931,6298,31.49
2023-12-03,1290,2344,7548,37.74
2023-01-08,2607,1084,21252,106.26
2023-02-12,756,322,27180,135.9
2023-03-19,538,136,31664,158.32
2023-04-23,185,41,11500,57.5
2023-05-28,58,39,5393,26.965
2023-07-02,54,29,2324,11.62
2023-08-06,51,60,7579,37.895
2023-09-10,87,147,12509,62.545
2023-10-15,157,966,9616,48.08
2023-11-19,416,2506,0,0
2023-12-24,3267,1362,10154,50.77
2024-07-28,226,64,3537,17.685
2024-05-19,204,43,2290,11.45
2024-06-23,272,39,4876,24.38
2023-08-27,51,81,9916,49.58
2023-10-01,116,373,17236,86.18
2023-11-05,301,2137,4723,23.615
2023-01-01,6030,1459,35666,178.33
2023-02-05,756,387,22900,114.5
2023-03-12,737,193,33168,165.84
2023-04-16,184,70,13084,65.42
2023-05-21,59,36,6924,34.62
2023-06-25,31,22,2250,11.25
2023-07-30,65,61,6146,30.73
2023-09-03,85,94,13912,69.56
2023-10-08,152,699,13910,69.55
2023-11-12,350,2498,1929,9.645
2023-12-17,3554,1782,10709,53.545
2022-10-23,1102,1116,39564,197.82
2022-11-27,3743,1881,25411,127.055
2024-01-28,5074,397,5158,25.79
2024-03-03,1904,142,1607,8.035
2024-04-07,737,76,1483,7.415
2024-05-12,337,50,2599,12.995
2024-06-16,192,43,4852,24.26
2024-07-21,372,66,4231,21.155
2024-08-25,239,59,2264,11.32
2022-10-09,646,482,61422,307.11
2022-11-13,1549,1716,21992,109.96
2022-12-18,14701,2064,48982,244.91
2023-12-10,2225,2453,9465,47.325
2024-01-14,4442,765,6541,32.705
2024-02-18,2604,196,1978,9.89
2024-03-24,1150,95,1457,7.285
2024-04-28,545,52,2849,14.245
2024-06-02,206,76,2889,14.445
2024-07-07,291,50,5317,26.585
2024-08-11,277,45,2254,11.27
2022-09-25,344,295,52625,263.125
2022-10-30,1009,1173,29625,148.125
2022-12-04,5776,1854,30428,152.14
2023-06-04,56,32,4992,24.96
2023-07-09,63,49,3126,15.63
2023-08-13,55,74,8478,42.39
2023-09-17,118,157,13230,66.15
2023-10-22,178,1463,7542,37.71
2023-11-26,581,2601,0,0
2023-12-31,4035,1449,8847,44.235
2024-02-04,4647,418,4071,20.355
2024-03-10,2118,152,1720,8.6
2024-04-14,451,63,1629,8.145
2020-05-17,NA,NA,17379,86.895
2020-05-24,NA,NA,12239,61.195
2020-05-31,NA,NA,9292,46.46
2020-06-07,NA,NA,7122,35.61
2020-06-14,NA,NA,6952,34.76
2020-06-21,NA,NA,5597,27.985
2020-06-28,NA,NA,4373,21.865
2020-07-05,NA,NA,4283,21.415
2020-07-12,NA,NA,4326,21.63
2020-07-19,NA,NA,4777,23.885
2020-07-26,NA,NA,5600,28
2020-08-02,NA,NA,6143,30.715
2020-08-09,NA,NA,7585,37.925
2020-08-16,NA,NA,7695,38.475
2020-08-23,NA,NA,8440,42.2
2020-08-30,NA,NA,14063,70.315
2020-09-06,NA,NA,22402,112.01
2020-09-13,NA,NA,24201,121.005
2020-09-20,NA,NA,42048,210.24
2021-05-23,NA,NA,21158,105.79
2021-05-30,NA,NA,31507,157.535
2021-06-06,NA,NA,48221,241.105
2021-06-13,NA,NA,64358,321.79
2021-06-20,NA,NA,99629,498.145
2021-06-27,NA,NA,167306,836.53
2021-07-04,NA,NA,219115,1095.575
2021-07-11,NA,NA,300814,1504.07
2021-07-18,NA,NA,284548,1422.74
2021-07-25,NA,NA,191088,955.44
2021-08-01,NA,NA,190615,953.075
2021-08-08,NA,NA,202218,1011.09
2021-08-15,NA,NA,229425,1147.125
2021-08-22,NA,NA,243297,1216.485
2021-08-29,NA,NA,253328,1266.64
2021-09-05,NA,NA,255617,1278.085
2021-09-12,NA,NA,202997,1014.985
2021-09-19,NA,NA,239431,1197.155
2021-09-26,NA,NA,238336,1191.68
2022-05-22,NA,NA,42875,214.375
2022-05-29,NA,NA,43505,217.525
2022-06-05,NA,NA,70203,351.015
2022-06-12,NA,NA,93029,465.145
2022-06-19,NA,NA,125840,629.2
2022-06-26,NA,NA,154914,774.57
2022-07-03,NA,NA,194662,973.31
2022-07-10,NA,NA,172681,863.405
2022-07-17,NA,NA,116327,581.635
2022-07-24,NA,NA,78484,392.42
2022-07-31,NA,NA,58913,294.565
2022-08-07,NA,NA,46833,234.165
2022-08-14,NA,NA,36776,183.88
2022-08-21,NA,NA,29951,149.755
2022-08-28,NA,NA,28856,144.28
2022-09-04,NA,NA,29198,145.99
2022-09-11,NA,NA,31231,156.155
