"week","total_flu","total_rsv","total_covid","covid_scaled"
2021-04-18,16,7,17049,85.245
2022-11-20,685,676,22782,113.91
2020-07-05,0,1,4283,21.415
2018-02-04,2663,188,NA,NA
2022-08-07,49,192,46833,234.165
2020-05-03,0,7,25729,128.645
2022-03-27,891,187,503639,2518.195
2023-06-11,26,26,3774,18.87
2017-05-14,155,11,NA,NA
2017-04-09,181,19,NA,NA
2019-04-07,575,42,NA,NA
2023-04-16,92,15,13084,65.42
2018-01-21,3607,349,NA,NA
2020-03-08,637,146,1506,7.53
2018-03-25,1321,66,NA,NA
2020-01-12,1267,815,0,0
2018-12-30,1987,931,NA,NA
2019-02-03,4034,254,NA,NA
2023-05-14,41,26,7584,37.92
2021-01-24,12,5,179771,898.855
2021-10-03,207,1523,248174,1240.87
2022-10-02,211,353,66161,330.805
2016-09-04,5,20,NA,NA
2018-01-28,3169,255,NA,NA
2022-07-31,54,233,58913,294.565
2022-01-16,86,247,724827,3624.135
2018-11-25,243,1455,NA,NA
2016-11-27,138,956,NA,NA
2016-11-06,39,581,NA,NA
2016-12-18,735,855,NA,NA
2018-10-07,24,156,NA,NA
2021-12-19,198,452,880365,4401.825
2021-05-23,1,6,21158,105.79
2023-03-12,165,88,33168,165.84
2017-08-20,4,5,NA,NA
2021-01-03,23,1,407052,2035.26
2016-10-30,39,526,NA,NA
2020-05-17,0,1,17379,86.895
2017-10-01,64,74,NA,NA
2022-01-09,120,203,757527,3787.635
2023-05-21,43,40,6924,34.62
2019-06-23,16,7,NA,NA
2020-07-12,2,0,4326,21.63
2020-11-15,37,5,148401,742.005
2018-04-01,1135,86,NA,NA
2021-05-09,16,13,15553,77.765
2021-12-05,203,491,357276,1786.38
2018-05-06,86,35,NA,NA
2023-02-19,112,98,28513,142.565
2019-09-29,113,143,NA,NA
2023-07-23,16,27,4449,22.245
2019-07-14,9,4,NA,NA
2019-03-10,900,91,NA,NA
2017-06-04,1,2,NA,NA
2021-06-20,0,8,99629,498.145
2020-10-18,29,17,147782,738.91
2019-02-10,3923,235,NA,NA
2017-11-12,133,700,NA,NA
2021-11-07,140,665,258653,1293.265
2019-12-15,1399,613,NA,NA
2019-04-28,244,31,NA,NA
2018-07-01,2,5,NA,NA
2020-08-23,2,2,8440,42.2
2020-12-27,16,1,359655,1798.275
2019-10-27,328,803,NA,NA
2020-06-28,1,0,4373,21.865
2018-12-23,1254,832,NA,NA
2021-09-26,14,676,238336,1191.68
2017-04-30,196,13,NA,NA
2017-07-09,1,1,NA,NA
2017-10-22,38,282,NA,NA
2023-05-07,43,8,9258,46.29
2020-11-08,44,3,174551,872.755
2018-07-29,4,10,NA,NA
2021-05-30,2,0,31507,157.535
2021-06-27,0,21,167306,836.53
2022-08-28,77,169,28856,144.28
2023-06-04,41,17,4992,24.96
2023-10-08,50,511,13910,69.55
2018-11-11,137,1081,NA,NA
2020-09-27,18,3,67574,337.87
2017-12-17,2210,918,NA,NA
2018-07-08,3,13,NA,NA
2022-04-03,971,181,313520,1567.6
2020-11-29,45,8,103910,519.55
2021-07-18,1,59,284548,1422.74
2020-01-26,821,461,1,0.005
2021-02-14,22,5,82012,410.06
2023-10-15,76,656,9616,48.08
2018-10-21,63,406,NA,NA
2019-06-16,13,7,NA,NA
2022-02-20,248,129,257035,1285.175
2017-10-29,50,372,NA,NA
2019-02-17,2771,179,NA,NA
2016-11-13,79,854,NA,NA
2020-04-26,3,4,32046,160.23
2021-01-31,17,4,137028,685.14
2023-02-12,112,110,27180,135.9
2016-09-25,9,53,NA,NA
2023-08-20,20,64,8949,44.745
2017-01-29,1242,183,NA,NA
2020-03-15,502,112,4680,23.4
2017-02-12,738,120,NA,NA
2016-10-02,27,124,NA,NA
2022-05-22,64,76,42875,214.375
2017-04-23,197,15,NA,NA
2021-08-08,2,254,202218,1011.09
2017-11-26,240,1020,NA,NA
2019-08-25,14,16,NA,NA
2018-07-22,0,6,NA,NA
2017-05-07,221,27,NA,NA
2022-12-11,2289,437,39141,195.705
2019-09-08,29,20,NA,NA
2019-01-27,3623,339,NA,NA
2017-10-08,65,116,NA,NA
2018-08-12,0,7,NA,NA
2018-09-16,6,23,NA,NA
2019-01-20,3059,422,NA,NA
2021-03-07,9,8,40066,200.33
2017-11-19,203,989,NA,NA
2022-10-09,261,449,61422,307.11
2020-09-13,2,0,24201,121.005
2018-08-26,5,17,NA,NA
2019-12-29,3558,1758,0,0
2019-08-11,20,16,NA,NA
2023-09-03,25,93,13912,69.56
2021-11-14,161,659,293515,1467.575
2019-11-17,1020,1450,NA,NA
2018-06-10,7,16,NA,NA
2023-04-23,62,20,11500,57.5
2018-10-28,95,642,NA,NA
2016-12-04,284,1091,NA,NA
2016-10-16,25,280,NA,NA
2019-05-12,137,22,NA,NA
2019-03-24,639,61,NA,NA
2019-07-07,13,7,NA,NA
2022-06-12,33,134,93029,465.145
2020-06-21,0,0,5597,27.985
2018-02-25,2384,135,NA,NA
2019-07-21,9,8,NA,NA
2022-11-27,681,431,25411,127.055
2022-02-13,206,169,327378,1636.89
2020-06-07,0,2,7122,35.61
2023-10-29,70,798,6298,31.49
2023-01-22,280,211,15917,79.585
2022-11-13,567,650,21992,109.96
2018-08-05,2,4,NA,NA
2022-04-24,624,189,99960,499.8
2016-09-11,8,25,NA,NA
2016-11-20,72,967,NA,NA
2017-12-24,2776,779,NA,NA
2021-02-21,9,15,65430,327.15
2023-08-13,23,74,8478,42.39
2022-12-18,4832,764,48982,244.91
2023-03-19,168,84,31664,158.32
2018-05-13,64,30,NA,NA
2022-09-04,77,206,29198,145.99
2022-11-06,478,637,23970,119.85
2021-09-19,4,710,239431,1197.155
2021-02-28,11,5,42823,214.115
2021-08-22,1,523,243297,1216.485
2023-07-02,19,23,2324,11.62
2019-04-14,416,32,NA,NA
2017-10-15,55,180,NA,NA
2022-05-29,49,95,43505,217.525
2019-05-05,122,25,NA,NA
2021-05-02,13,12,14311,71.555
2020-11-22,34,7,108806,544.03
2023-01-08,881,365,21252,106.26
2021-01-17,13,3,257264,1286.32
2021-09-05,9,607,255617,1278.085
2021-10-24,207,1036,285556,1427.78
2021-03-14,14,5,38699,193.495
2020-10-25,17,7,152696,763.48
2017-09-24,3,7,NA,NA
2023-05-28,58,25,5393,26.965
2023-01-01,2088,535,35666,178.33
2019-02-24,1719,154,NA,NA
2023-06-18,24,20,2871,14.355
2017-07-30,2,0,NA,NA
2018-02-11,2810,201,NA,NA
2019-06-02,17,8,NA,NA
2021-06-06,0,9,48221,241.105
2022-12-04,1887,881,30428,152.14
2021-08-29,5,552,253328,1266.64
2018-06-24,2,6,NA,NA
2019-12-01,1037,579,NA,NA
2020-08-30,1,2,14063,70.315
2022-07-17,25,227,116327,581.635
2018-05-20,11,11,NA,NA
2020-09-20,1,0,42048,210.24
2023-02-05,175,139,22900,114.5
2018-09-23,2,23,NA,NA
2022-07-24,47,128,78484,392.42
2019-07-28,16,8,NA,NA
2019-08-18,19,18,NA,NA
2018-08-19,3,16,NA,NA
2020-08-16,1,2,7695,38.475
2020-06-14,0,1,6952,34.76
2022-08-21,63,148,29951,149.755
2023-07-30,15,44,6146,30.73
2017-09-10,4,4,NA,NA
2017-08-06,1,2,NA,NA
2023-11-12,93,492,1929,9.645
2017-07-02,6,0,NA,NA
2024-01-21,7376,771,6599,32.995
2024-02-25,2804,233,1570,7.85
2024-03-31,1552,135,1580,7.9
2024-05-05,689,94,2952,14.76
2024-06-09,258,68,3864,19.32
2024-07-14,427,86,5153,25.765
2024-08-18,283,58,2050,10.25
2024-01-07,3770,930,6759,33.795
2024-02-11,4807,341,2877,14.385
2024-03-17,2291,183,1505,7.525
2024-04-21,740,76,2050,10.25
2024-05-26,249,56,2421,12.105
2024-06-30,335,55,4819,24.095
2024-08-04,315,71,2633,13.165
2023-11-26,874,3337,0,0
2023-12-31,5318,1879,8847,44.235
2024-02-04,6102,532,4071,20.355
2024-03-10,2868,213,1720,8.6
2024-04-14,696,84,1629,8.145
2024-06-23,340,62,4876,24.38
2023-12-17,4748,2335,10709,53.545
2024-05-19,314,53,2290,11.45
2024-07-28,278,75,3537,17.685
2023-12-10,3107,3092,9465,47.325
2024-07-21,425,83,4231,21.155
2024-08-25,309,78,2264,11.32
2023-12-03,1798,3101,7548,37.74
2024-01-28,6715,522,5158,25.79
2024-03-03,2604,201,1607,8.035
2024-04-07,1041,105,1483,7.415
2024-06-16,268,65,4852,24.26
2023-11-19,620,3341,0,0
2023-12-24,4652,1842,10154,50.77
2024-01-14,6080,986,6541,32.705
2024-02-18,3587,275,1978,9.89
2024-03-24,1602,131,1457,7.285
2024-04-28,853,73,2849,14.245
2024-07-07,358,64,5317,26.585
2024-05-12,532,59,2599,12.995
2024-08-11,317,63,2254,11.27
2024-06-02,298,91,2889,14.445
