"week","total_flu","total_rsv","total_covid","covid_scaled"
2018-09-30,29,141,NA,NA
2021-09-12,16,657,202997,1014.985
2017-09-17,0,6,NA,NA
2016-10-23,17,364,NA,NA
2018-04-15,402,64,NA,NA
2021-12-12,218,500,562959,2814.795
2022-03-20,822,199,609227,3046.135
2022-06-05,28,86,70203,351.015
2023-02-26,114,85,26918,134.59
2018-12-02,302,1469,NA,NA
2021-04-11,11,5,17942,89.71
2019-12-08,1192,626,NA,NA
2023-07-09,36,52,3126,15.63
2018-03-04,2637,128,NA,NA
2020-09-06,8,0,22402,112.01
2023-07-16,24,45,3494,17.47
2021-11-28,184,588,329462,1647.31
2023-09-17,34,216,13230,66.15
2018-04-29,101,52,NA,NA
2023-09-24,41,308,16980,84.9
2017-03-05,379,47,NA,NA
2017-12-03,499,1084,NA,NA
2022-01-02,125,288,1388612,6943.06
2020-02-02,739,325,20,0.1
2021-01-10,12,3,324534,1622.67
2022-09-18,149,271,40356,201.78
2017-12-10,953,1044,NA,NA
2017-05-21,57,3,NA,NA
2020-05-24,1,0,12239,61.195
2016-09-18,3,38,NA,NA
2018-02-18,3344,175,NA,NA
2022-08-14,53,148,36776,183.88
2017-04-02,236,29,NA,NA
2019-10-13,158,317,NA,NA
2022-10-23,335,472,39564,197.82
2017-01-22,1221,254,NA,NA
2022-07-03,27,221,194662,973.31
2020-01-19,836,568,0,0
2019-08-04,16,7,NA,NA
2022-05-15,365,377,53196,265.98
2018-01-07,4107,556,NA,NA
2019-05-19,35,5,NA,NA
2017-05-28,43,3,NA,NA
2018-07-15,4,6,NA,NA
2020-10-04,16,6,108475,542.375
2019-01-13,2655,572,NA,NA
2017-06-18,4,1,NA,NA
2021-03-28,3,6,28943,144.715
2017-07-16,1,2,NA,NA
2019-06-09,30,7,NA,NA
2022-05-01,556,244,74518,372.59
2016-12-11,447,917,NA,NA
2021-05-16,6,16,16489,82.445
2016-12-25,921,713,NA,NA
2020-04-19,26,17,33522,167.61
2022-02-27,322,114,263670,1318.35
2023-03-05,133,89,29125,145.625
2021-03-21,3,11,38600,193
2021-02-07,14,8,97748,488.74
2017-01-01,1214,699,NA,NA
2020-07-26,0,0,5600,28
2023-08-06,19,72,7579,37.895
2019-11-10,412,1068,NA,NA
2023-04-30,75,38,11284,56.42
2018-04-22,170,59,NA,NA
2020-12-20,24,2,265069,1325.345
2017-08-13,3,5,NA,NA
2020-10-11,28,12,118056,590.28
2023-03-26,101,50,26485,132.425
2020-12-13,25,5,205683,1028.415
2018-04-08,809,89,NA,NA
2021-10-10,227,1554,297155,1485.775
2020-03-01,805,182,240,1.2
2023-01-29,230,205,20671,103.355
2020-05-10,1,3,20553,102.765
2017-04-16,187,14,NA,NA
2017-06-11,3,0,NA,NA
2018-06-17,2,10,NA,NA
2017-08-27,3,1,NA,NA
2022-07-10,46,260,172681,863.405
2023-06-25,13,28,2250,11.25
2023-10-22,69,753,7542,37.71
2017-01-15,1214,380,NA,NA
2020-04-05,29,8,33156,165.78
2019-03-17,909,73,NA,NA
2022-09-25,157,264,52625,263.125
2017-03-12,321,47,NA,NA
2020-05-31,2,3,9292,46.46
2022-01-23,98,204,721263,3606.315
2017-11-05,83,537,NA,NA
2021-07-04,1,32,219115,1095.575
2020-02-23,751,167,23,0.115
2021-04-25,3,6,15236,76.18
2018-09-02,8,12,NA,NA
2023-01-15,436,235,14399,71.995
2018-10-14,40,290,NA,NA
2022-06-26,32,184,154914,774.57
2023-11-05,93,759,4723,23.615
2020-11-01,20,11,161491,807.455
2019-09-15,28,29,NA,NA
2021-12-26,176,397,1240772,6203.86
2022-05-08,481,277,62350,311.75
2023-04-09,70,37,14993,74.965
2022-04-17,745,246,152602,763.01
2019-03-31,621,56,NA,NA
2020-08-02,2,1,6143,30.715
2022-10-30,390,521,29625,148.125
2019-12-22,1219,413,NA,NA
2020-02-16,707,182,1,0.005
2022-04-10,1041,275,221291,1106.455
2019-05-26,18,6,NA,NA
2023-04-02,83,48,17916,89.58
2017-12-31,3858,782,NA,NA
2017-03-19,279,47,NA,NA
2018-12-09,403,1157,NA,NA
2021-06-13,3,4,64358,321.79
2019-09-01,15,18,NA,NA
2022-03-06,493,146,411866,2059.33
2021-10-17,240,1271,332317,1661.585
2020-12-06,28,4,129932,649.66
2020-02-09,719,244,11,0.055
2020-08-09,1,0,7585,37.925
2021-11-21,166,656,301318,1506.59
2021-04-04,8,7,20124,100.62
2020-01-05,2294,1243,0,0
2017-07-23,3,2,NA,NA
2020-04-12,8,6,30319,151.595
2019-03-03,1205,90,NA,NA
2019-09-22,25,34,NA,NA
2018-06-03,7,13,NA,NA
2022-06-19,27,143,125840,629.2
2023-08-27,32,93,9916,49.58
2018-03-11,2154,116,NA,NA
2017-02-26,568,76,NA,NA
2021-08-15,1,325,229425,1147.125
2018-11-18,138,1255,NA,NA
2022-02-06,111,140,438897,2194.485
2017-03-26,281,40,NA,NA
2018-11-04,122,800,NA,NA
2019-10-20,228,612,NA,NA
2021-07-25,2,78,191088,955.44
2019-01-06,2782,815,NA,NA
2019-10-06,143,243,NA,NA
2017-02-19,721,114,NA,NA
2016-10-09,15,193,NA,NA
2020-03-29,85,15,27120,135.6
2018-03-18,1725,124,NA,NA
2022-12-25,3808,639,41259,206.295
2019-11-03,298,870,NA,NA
2018-01-14,3792,501,NA,NA
2021-08-01,0,202,190615,953.075
2023-09-10,29,140,12509,62.545
2017-01-08,1508,560,NA,NA
2019-11-24,1820,1921,NA,NA
2022-10-16,296,435,54603,273.015
2018-05-27,12,10,NA,NA
2019-04-21,406,24,NA,NA
2019-06-30,11,8,NA,NA
2022-01-30,98,150,609302,3046.51
2020-03-22,176,72,14144,70.72
2021-07-11,1,42,300814,1504.07
2018-09-09,6,15,NA,NA
2018-12-16,846,1161,NA,NA
2017-06-25,2,2,NA,NA
2021-10-31,130,876,261410,1307.05
2017-02-05,947,159,NA,NA
2020-07-19,8,88,4777,23.885
2023-10-01,40,381,17236,86.18
2017-09-03,3,3,NA,NA
2022-03-13,620,153,572993,2864.965
2022-09-11,96,217,31231,156.155
