"month","total_flu","total_rsv","total_covid","covid_scaled"
2018-10-01,148,1024,NA,NA
2021-12-01,621,1474,3021919,15109.595
2021-11-01,610,2459,1186984,5934.92
2018-04-01,1908,205,NA,NA
2020-02-01,2155,673,56,0.28
2021-01-01,52,8,1317163,6585.815
2017-04-01,192,44,NA,NA
2020-01-01,3904,2332,0,0
2022-05-01,1081,742,249016,1245.08
2021-03-01,29,16,170930,854.65
2019-11-01,2236,3115,NA,NA
2020-05-01,0,2,87825,439.125
2021-02-01,55,28,366566,1832.83
2018-01-01,11587,1606,NA,NA
2016-12-01,1245,2185,NA,NA
2018-12-01,3150,3505,NA,NA
2021-04-01,33,20,79540,397.7
2020-04-01,32,9,137022,685.11
2020-12-01,73,11,912501,4562.505
2018-11-01,459,3069,NA,NA
2021-10-01,758,3203,1270894,6354.47
2018-03-01,6089,307,NA,NA
2017-03-01,413,114,NA,NA
2017-01-01,4059,1368,NA,NA
2022-01-01,422,930,3986343,19931.715
2022-03-01,2053,571,2180035,10900.175
2020-10-01,68,36,563449,2817.245
2017-12-01,2415,2420,NA,NA
2019-02-01,9151,562,NA,NA
2020-03-01,1573,374,29317,146.585
2016-11-01,162,1833,NA,NA
2016-10-01,69,668,NA,NA
2021-05-01,25,34,76330,381.65
2022-02-01,478,494,1528000,7640
2018-05-01,105,43,NA,NA
2018-02-01,8010,455,NA,NA
2020-11-01,139,23,618889,3094.445
2017-10-01,142,635,NA,NA
2017-05-01,121,36,NA,NA
2022-04-01,2746,759,915807,4579.035
2017-02-01,1788,338,NA,NA
2019-04-01,1712,116,NA,NA
2019-10-01,686,1172,NA,NA
2019-03-01,2808,199,NA,NA
2019-12-01,2639,1283,NA,NA
2017-11-01,251,2042,NA,NA
2022-09-01,34,37,159707,798.535
2019-05-01,178,38,NA,NA
2019-01-01,8463,1452,NA,NA
2020-09-01,10,2,130986,654.93
2019-09-01,88,71,NA,NA
2018-06-01,0,0,NA,NA
2022-10-01,4374,3982,237629,1188.145
2022-11-01,8892,6905,103925,519.625
2022-12-01,41806,7574,171681,858.405
2023-01-01,11595,4193,94101,470.505
2023-03-01,2340,749,134595,672.975
2023-04-01,913,292,62447,312.235
2023-05-01,445,214,36439,182.195
2023-06-01,198,112,16109,80.545
2023-07-01,284,227,15143,75.715
2024-01-01,21575,3854,33904,169.52
2024-02-01,12823,1038,10496,52.48
2024-04-01,3433,352,9591,47.955
2024-05-01,1123,204,10262,51.31
2024-06-01,846,203,16481,82.405
2024-07-01,1503,290,23057,115.285
2024-08-01,1020,198,9201,46.005
2023-02-01,3863,1320,101701,508.505
2024-03-01,6792,509,6289,31.445
2023-08-01,209,281,36039,180.195
2023-09-01,387,699,60199,300.995
2023-10-01,865,5432,50890,254.45
2023-12-01,10336,7941,37876,189.38
2023-11-01,1648,9742,10364,51.82
2020-06-01,NA,NA,29200,146
2020-07-01,NA,NA,20645,103.225
2020-08-01,NA,NA,33671,168.355
2021-06-01,NA,NA,318516,1592.58
2021-07-01,NA,NA,1081481,5407.405
2021-08-01,NA,NA,953037,4765.185
2021-09-01,NA,NA,1034786,5173.93
2022-06-01,NA,NA,422573,2112.865
2022-07-01,NA,NA,619503,3097.515
2022-08-01,NA,NA,178629,893.145
